波长（nm）,R_湿裸土,R_灌木,R_水泥砖,R_枯叶,R_草地,R_水体(90),R_水体(45)
519,0.048940829,0.059269447,0.131103695,0.155531684,0.04958578,0.071383583,0.196272009
520,0.048588816,0.061911182,0.131172435,0.156468288,0.051953563,0.07172331,0.195757948
521,0.04902889,0.065407077,0.131946087,0.158673196,0.054224073,0.072217506,0.197601728
522,0.049798779,0.069275336,0.132902435,0.160920974,0.056702872,0.072931109,0.199623672
523,0.051084064,0.073850342,0.134611166,0.163722043,0.059841792,0.074300118,0.202263384
524,0.050532472,0.07732903,0.135504043,0.165744517,0.062116027,0.07532278,0.203377132
525,0.050967307,0.080375046,0.135870242,0.16705091,0.064090888,0.075912246,0.203871275
526,0.052169914,0.083356263,0.136158734,0.168269501,0.066044588,0.07631588,0.204414092
527,0.050804525,0.085523072,0.134502424,0.167426936,0.067297269,0.075360014,0.201975826
528,0.050370626,0.088378825,0.133848674,0.167634723,0.068736903,0.074979678,0.201805972
529,0.050529903,0.091516428,0.133944058,0.168726882,0.070438777,0.075109506,0.202722071
530,0.051260001,0.094686388,0.135019065,0.171221292,0.072765962,0.076036314,0.204007747
531,0.051956516,0.09759021,0.136144854,0.173498035,0.075115732,0.076747136,0.20545051
532,0.052316693,0.09989767,0.136564315,0.174955972,0.077006774,0.077084562,0.206053755
533,0.052262086,0.101543785,0.136090608,0.175516234,0.078346001,0.077053897,0.205663818
534,0.052270828,0.10382639,0.136636449,0.176758455,0.079656833,0.077174474,0.20577935
535,0.052689882,0.105940604,0.137184883,0.1782243,0.081082929,0.077453428,0.206408162
536,0.053382971,0.107689925,0.137596043,0.179687195,0.082427467,0.077751531,0.207239424
537,0.053756948,0.108787391,0.138309607,0.181254072,0.082893516,0.077594429,0.20767742
538,0.054572657,0.110875709,0.139631102,0.183751259,0.084360922,0.078582033,0.209046654
539,0.055067352,0.11246124,0.1401509,0.185433519,0.085589205,0.079318268,0.209456725
540,0.054542976,0.112318526,0.138938155,0.185384893,0.08553518,0.078441892,0.207992263
541,0.05495168,0.112753623,0.13859891,0.185622368,0.085856089,0.078324298,0.206737094
542,0.055167403,0.113025046,0.138414306,0.185935485,0.085951072,0.077946122,0.205500875
543,0.054684805,0.112747378,0.138070351,0.186109791,0.085476855,0.076825652,0.204056668
544,0.054919401,0.113379095,0.1383796,0.187472169,0.086010427,0.077062013,0.204213633
545,0.055502949,0.114543713,0.139385508,0.18983275,0.086885049,0.077706841,0.205413397
546,0.055989572,0.115272984,0.139930608,0.191552997,0.087374139,0.078015076,0.20583175
547,0.056579107,0.115278488,0.139840847,0.192120829,0.08755735,0.0775196,0.204563827
548,0.056919782,0.115780923,0.13991885,0.193118929,0.088025804,0.077144222,0.204526609
549,0.057050954,0.11632517,0.140026302,0.194307276,0.088452347,0.076811657,0.204720257
550,0.056917112,0.116264789,0.140071478,0.195566898,0.088301441,0.076466481,0.203826506
551,0.05776643,0.11662753,0.140322102,0.196905426,0.088659541,0.076526682,0.20382989
552,0.058599241,0.117013759,0.140681848,0.198170076,0.088948198,0.076644306,0.203813164
553,0.059042072,0.117297902,0.141230864,0.199382749,0.088962941,0.076727695,0.20356356
554,0.060096083,0.117679653,0.142161816,0.201244724,0.089803537,0.076935852,0.203660032
555,0.060828207,0.117669005,0.14271419,0.203017064,0.090211013,0.076981281,0.203871706
556,0.061494634,0.117803784,0.143570311,0.205578731,0.090527427,0.077198567,0.205042909
557,0.061676895,0.116904533,0.143606392,0.206375048,0.089646868,0.076688356,0.203772715
558,0.062275488,0.115696401,0.143295879,0.206944716,0.088846931,0.075981523,0.202673158
559,0.063001728,0.114312819,0.142914697,0.207458087,0.088150781,0.075290974,0.201681012
560,0.063364638,0.112896105,0.142986702,0.208167387,0.087687409,0.075045369,0.200768087
561,0.063703553,0.111975531,0.143354767,0.209413627,0.086478648,0.074833913,0.200537995
562,0.064277177,0.110928827,0.143785033,0.210745937,0.085386581,0.074611167,0.20030826
563,0.065429861,0.10966272,0.144508126,0.212494596,0.08504108,0.074525609,0.200136317
564,0.066168438,0.108086005,0.144577705,0.213849052,0.084163613,0.074627995,0.199606808
565,0.066856871,0.106428984,0.144874776,0.215360887,0.083089905,0.074586194,0.19959581
566,0.067833786,0.105129682,0.14608682,0.217986543,0.082179815,0.074665095,0.20089815
567,0.068393611,0.103003808,0.146231645,0.218659728,0.080502364,0.073814823,0.199906932
