Plot_ID,Mean_DBH,Min_DBH,Max_DBH,Mean_H,Min_H,Max_H
71,27.6680003357,22.7999992371,38.4000015259,12.7919999695,5.5,19.7999992371
72,42.917072994,20.5,79.3000030518,23.4243901881,9.30000019073,40.5999984741
73,34.8882354288,19.6000003815,76.0,16.5803922578,4.0,34.4000015259
74,51.5846160008,19.6000003815,101.400001526,20.2461541983,4.69999980927,42.4000015259
75,34.6615386376,22.7000007629,87.5,13.0076924838,4.30000019073,42.5
76,38.5722226037,21.3999996185,66.9000015259,19.6500002013,2.0,40.4000015259
216,22.4749999046,19.8999996185,41.2000007629,13.0291667779,9.0,27.1000003815
217,50.3380949838,31.2000007629,81.0999984741,24.9999999092,12.8999996185,35.2999992371
219,49.3678570475,19.5,120.099998474,25.7499996764,7.90000009537,52.5999984741
220,46.9468749762,20.2999992371,123.300003052,26.415625006,8.80000019073,54.2000007629
221,54.6241383388,22.1000003815,101.800003052,32.0137932383,2.09999990463,47.5
222,77.1199993134,26.2000007629,101.199996948,38.6600000381,16.0,52.7999992371
229,46.5363636017,20.5,77.5,23.7954543721,14.5,42.7999992371
230,53.4222220315,21.6000003815,144.899993896,22.5000002119,9.30000019073,61.2000007629
233,41.5359996796,19.7999992371,93.4000015259,20.0080000496,3.90000009537,44.4000015259
234,46.3962963952,20.2999992371,169.0,21.225926152,8.19999980927,49.5
235,42.0736839897,23.5,102.199996948,21.2894736842,4.80000019073,41.7000007629
246,63.9916672707,19.5,132.300003052,22.9083333413,3.09999990463,47.2000007629
247,60.7333331789,19.5,140.0,33.9690478643,2.0,62.2000007629
248,59.0750012398,23.7999992371,99.8000030518,28.7500002384,10.6999998093,46.7999992371
336,51.623529883,21.5,82.8000030518,24.4588235406,7.80000019073,37.0
337,46.3400002797,23.0,78.0999984741,20.8933332602,2.0,47.7999992371
338,53.1833335029,20.2999992371,119.0,29.9111111429,12.6999998093,49.7000007629
339,69.9899997711,21.2999992371,191.0,29.4999993801,2.40000009537,63.0999984741
340,51.7533332825,20.7999992371,106.300003052,24.5266665777,8.60000038147,50.2999992371
341,64.5,21.3999996185,101.099998474,25.9647061965,4.0,46.9000015259
342,45.6612909994,21.1000003815,102.800003052,20.6870964727,4.30000019073,47.5999984741
343,37.6653064416,21.3999996185,62.5,18.4959184296,6.40000009537,35.2000007629
344,60.1571427754,21.1000003815,197.399993896,26.649999891,4.09999990463,61.2999992371
345,47.0875000954,19.8999996185,112.199996948,25.4625000954,10.6999998093,49.7000007629
346,59.9999996821,19.6000003815,149.899993896,25.7833330631,7.09999990463,42.2999992371
347,57.4999996634,20.0,105.0,26.3352943448,2.29999995232,49.0
348,32.68260848,0.0,107.5,14.6260869088,0.0,46.7000007629
351,38.8037740599,21.3999996185,79.5,17.2301886577,6.69999980927,40.2999992371
352,55.8900004069,20.8999996185,124.300003052,27.8499999364,4.5,50.4000015259
353,56.1166668998,19.8999996185,113.900001526,26.9611112277,10.0,47.2999992371
354,85.9285710653,20.3999996185,141.899993896,43.8238098508,18.7000007629,64.1999969482
355,67.4666665395,29.6000003815,122.099998474,19.7833330631,4.40000009537,43.5999984741
356,49.2625004053,28.3999996185,72.5,25.1062502861,5.0,42.9000015259
357,34.9076921023,0.0,61.2000007629,19.4269229816,0.0,33.0999984741
358,55.9055557251,23.5,103.0,20.9166669183,3.29999995232,44.4000015259
359,58.7875000238,20.5,107.5,22.7437500954,5.30000019073,46.2000007629
360,32.3558140245,19.6000003815,74.5,15.1883721019,8.19999980927,31.1000003815
361,80.0037040004,23.2000007629,147.800003052,30.3592592875,7.19999980927,47.0
362,49.7636359822,23.2999992371,94.1999969482,21.1454544067,8.69999980927,46.2000007629
364,29.0571425302,0.0,40.2999992371,12.9428571974,0.0,20.7000007629
365,59.2384623014,22.7000007629,150.800003052,27.7615385056,10.8999996185,56.9000015259
366,60.0333335876,21.0,112.5,28.2199998538,2.59999990463,52.7999992371
367,32.2249997457,20.3999996185,95.6999969482,13.7666664918,8.0,22.2999992371
368,50.7388894823,21.3999996185,93.4000015259,23.2388886876,8.0,41.2999992371
369,81.0714291164,43.7000007629,136.5,35.0,20.8999996185,43.0999984741
370,59.4137928404,25.2000007629,128.399993896,30.7965516386,7.40000009537,50.9000015259
372,58.0083340009,23.1000003815,118.0,17.808333238,8.69999980927,35.0999984741
373,62.2333340115,37.5,84.1999969482,29.1333329942,20.2999992371,38.2000007629
374,29.0836064698,19.5,67.8000030518,15.0999999437,8.39999961853,23.1000003815
375,45.6384620667,19.7000007629,98.3000030518,20.3846153113,10.5,33.7000007629
376,41.8878050083,21.0,74.5,19.5121949591,9.39999961853,33.5999984741
